material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,5.838332653045654,4.669999599456787,1.6889201402664185,0.15759047865867615,4.747655391693115,0.047655582427978516
si,550.0,4.3,0.055,0.6283185307179585,6.169999599456787,4.669999599456787,1.447645902633667,0.15759047865867615,4.276869297027588,-0.02313089370727539
si,650.0,3.88,0.02,0.1933287786824488,6.169999599456787,4.918333053588867,1.1158936023712158,0.15759047865867615,3.8754985332489014,-0.0045015811920166016
si,850.0,3.68,0.006,0.044351896285973545,6.501666069030762,5.166666030883789,0.8746193647384644,0.15759047865867615,3.6818857192993164,0.0018856525421142578
si,1000.0,3.57,0.001,0.006283185307179586,6.501666069030762,5.166666030883789,0.7238229513168335,0.15759047865867615,3.548090696334839,-0.021909236907958984
sio2,404.7,1.4696,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4925258159637451,0.022925853729248047
sio2,435.8,1.4667,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4911171197891235,0.02441716194152832
sio2,486.1,1.4631,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4895756244659424,0.02647566795349121
sio2,546.1,1.4601,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.4889278411865234,0.028827786445617676
sio2,589.3,1.4585,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.01745215430855751,1.489263653755188,0.030763626098632812
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745215430855751,1.3896287679672241,-0.06737124919891357
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745215430855751,1.3904614448547363,-0.06603860855102539
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.5266666412353516,2.683333158493042,0.03333333507180214,-0.029535889625549316,1.4941836595535278,-0.005816340446472168
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.4924980401992798,-0.002501964569091797
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.492041826248169,4.184246063232422e-05
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.492475986480713,0.0024759769439697266
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.5266666412353516,2.683333158493042,0.01666666753590107,-0.029535889625549316,1.4938005208969116,0.005800485610961914
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,0.0005913674831390381,4.458337306976318,0.03833723068237305
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.0005913674831390381,4.237570762634277,0.0575709342956543
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.0005913674831390381,4.064254283905029,0.11425423622131348
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.5,0.0005913674831390381,3.8681931495666504,0.08819317817687988
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.5333333015441895,0.0005913674831390381,3.729663610458374,0.06966352462768555
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,0.0005913674831390381,3.6206583976745605,0.04065847396850586
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.4666666984558105,0.0005913674831390381,3.3571105003356934,-0.14288949966430664
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.428333282470703,1.4333332777023315,0.0005913674831390381,3.184211254119873,-0.2657887935638428
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,1.1,3.2,2.0,0.20000000298023224,2.683333158493042,0.20000001788139343,-0.16005751490592957,1.2288813591003418,0.1288813352584839
metalx,480.0,1.25,2.8,2.0,0.20000000298023224,2.683333158493042,0.2666666805744171,-0.16005751490592957,1.3168632984161377,0.0668632984161377
metalx,540.0,1.45,2.35,2.0,0.20000000298023224,2.683333158493042,0.40000003576278687,-0.16005751490592957,1.4956450462341309,0.04564499855041504
metalx,620.0,1.7,1.95,2.0,0.20000000298023224,2.683333158493042,0.6000000238418579,-0.16005751490592957,1.7572346925735474,0.05723464488983154
metalx,700.0,2.05,1.55,2.0,0.20000000298023224,2.683333158493042,0.8666667342185974,-0.16005751490592957,2.0827155113220215,0.032715559005737305
metalx,820.0,2.55,1.1,2.0,0.20000000298023224,2.683333158493042,1.1999999284744263,-0.16005751490592957,2.4308152198791504,-0.11918473243713379
metalx,950.0,2.95,0.75,2.0,0.53166663646698,2.683333158493042,1.399999976158142,-0.16005751490592957,2.737844705581665,-0.21215534210205078
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04739582538604736,1.0107440948486328,-0.00925588607788086
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04739582538604736,1.007982611656189,-0.007017374038696289
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04739582538604736,1.0058605670928955,-0.006139397621154785
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04739582538604736,1.0049922466278076,-0.005007743835449219
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04739582538604736,1.0063434839248657,-0.0016565322875976562
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04739582538604736,1.013444185256958,0.007444143295288086
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04739582538604736,1.0266327857971191,0.021632790565490723
highnlowk,430.0,3.9,0.0009,0.013150852968515411,6.8333330154418945,5.414999485015869,0.1666666716337204,0.011615105904638767,3.638119697570801,-0.26188039779663086
highnlowk,500.0,3.75,0.0007,0.00879645943005142,6.501666069030762,5.414999485015869,0.15000000596046448,0.011615105904638767,3.5845627784729004,-0.1654372215270996
highnlowk,580.0,3.6,0.0005,0.005416539057913436,6.169999599456787,5.414999485015869,0.13333334028720856,0.011615105904638767,3.53166127204895,-0.06833863258361816
highnlowk,660.0,3.48,0.00038,0.003617591540497337,5.838332653045654,5.414999485015869,0.11666667461395264,0.011615105904638767,3.481293201446533,0.001293182373046875
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,5.838332653045654,5.166666030883789,0.10000000894069672,0.011615105904638767,3.46073317527771,0.08073306083679199
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,5.838332653045654,5.166666030883789,0.0833333358168602,0.011615105904638767,3.46818208694458,0.1681821346282959
