material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,material_tilt,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,3.8483331203460693,3.676666498184204,1.0857343673706055,1.4077554941177368,-0.31356000900268555,4.698720932006836,-0.0012788772583007812
si,550.0,4.3,0.055,0.6283185307179585,3.8483331203460693,3.676666498184204,0.8444600701332092,1.4077554941177368,-0.31356000900268555,4.261549472808838,-0.03845071792602539
si,650.0,3.88,0.02,0.1933287786824488,3.8483331203460693,3.676666498184204,0.5730264782905579,1.4077554941177368,-0.31356000900268555,3.9293994903564453,0.049399375915527344
si,850.0,3.68,0.006,0.044351896285973545,3.8483331203460693,3.676666498184204,0.3920707702636719,1.4077554941177368,-0.31356000900268555,3.6847763061523438,0.0047762393951416016
si,1000.0,3.57,0.001,0.006283185307179586,3.8483331203460693,3.676666498184204,0.3317521810531616,1.4077554941177368,-0.31356000900268555,3.5555543899536133,-0.01444554328918457
sio2,404.7,1.4696,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.465694546699524,-0.0039054155349731445
sio2,435.8,1.4667,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.4650322198867798,-0.0016677379608154297
sio2,486.1,1.4631,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.4647661447525024,0.0016661882400512695
sio2,546.1,1.4601,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.465749740600586,0.005649685859680176
sio2,589.3,1.4585,0.0,0.0,2.5216665267944336,2.931666612625122,0.0,-0.4842025637626648,0.01539536565542221,1.467334508895874,0.008834481239318848
sio2,632.8,1.457,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.4842025637626648,0.01539536565542221,1.4507137537002563,-0.006286263465881348
sio2,656.3,1.4565,0.0,0.0,2.5216665267944336,2.683333158493042,0.0,-0.4842025637626648,0.01539536565542221,1.4522091150283813,-0.004290938377380371
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,2.5216665267944336,2.931666612625122,0.03333333507180214,-0.45084133744239807,0.0315219946205616,1.4961087703704834,-0.0038912296295166016
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4971654415130615,0.0021654367446899414
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,2.5216665267944336,2.931666612625122,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4995338916778564,0.007533907890319824
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.4840009212493896,-0.005999088287353516
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,2.5216665267944336,2.683333158493042,0.01666666753590107,-0.45084133744239807,0.0315219946205616,1.48819100856781,0.00019097328186035156
gaas,450.0,4.42,1.9,2.5,2.5216665267944336,2.931666612625122,1.8333332538604736,-0.18152181804180145,0.661010205745697,4.2894487380981445,-0.13055133819580078
gaas,500.0,4.18,1.45,2.5,2.5216665267944336,2.931666612625122,1.7916666269302368,-0.18152181804180145,0.661010205745697,4.138960838317871,-0.04103899002075195
gaas,550.0,3.95,1.08,2.5,2.5216665267944336,2.931666612625122,1.75,-0.18152181804180145,0.661010205745697,3.9883430004119873,0.038342952728271484
gaas,600.0,3.78,0.74,2.5,2.5216665267944336,2.931666612625122,1.75,-0.18152181804180145,0.661010205745697,3.86207914352417,0.08207917213439941
gaas,650.0,3.66,0.47,2.5,2.5216665267944336,2.931666612625122,1.7916666269302368,-0.18152181804180145,0.661010205745697,3.7558228969573975,0.09582281112670898
gaas,700.0,3.58,0.28,2.5,2.8533332347869873,3.179999828338623,1.7916666269302368,-0.18152181804180145,0.661010205745697,3.670397996902466,0.09039807319641113
gaas,800.0,3.5,0.12,0.9424777960769378,3.184999942779541,3.428333282470703,1.7083332538604736,-0.18152181804180145,0.661010205745697,3.4508450031280518,-0.04915499687194824
gaas,900.0,3.45,0.06,0.418879020478639,3.5166666507720947,3.676666498184204,1.6666666269302368,-0.18152181804180145,0.661010205745697,3.3641021251678467,-0.08589792251586914
air,450.0,1.00028,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,-2.7537304049474187e-05,1.0008697509765625,0.0005897283554077148
air,550.0,1.00027,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,-2.7537304049474187e-05,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,1.5266666412353516,2.683333158493042,0.0,-0.6902539134025574,-2.7537304049474187e-05,1.0008597373962402,0.0005897283554077148
water,450.0,1.34,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,-0.024750173091888428,1.340091347694397,9.131431579589844e-05
water,550.0,1.334,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,-0.024750173091888428,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,2.18999981880188,2.683333158493042,0.0,-0.5244559645652771,-0.024750173091888428,1.331091284751892,9.131431579589844e-05
metalx,420.0,1.45,0.12,1.7951958020513101,0.53166663646698,2.931666612625122,2.1466665267944336,-1.8858317136764526,-0.23985876142978668,1.243627667427063,-0.20637238025665283
metalx,500.0,1.62,0.55,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.8858317136764526,-0.23985876142978668,1.7313661575317383,0.1113661527633667
metalx,580.0,1.88,1.05,2.8,0.20000000298023224,2.931666612625122,2.053333282470703,-1.8858317136764526,-0.23985876142978668,1.9921033382415771,0.11210334300994873
metalx,660.0,2.12,1.55,2.8,0.20000000298023224,2.931666612625122,2.053333282470703,-1.8858317136764526,-0.23985876142978668,2.1826486587524414,0.06264877319335938
metalx,740.0,2.35,2.05,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.8858317136764526,-0.23985876142978668,2.3877124786376953,0.03771257400512695
metalx,820.0,2.52,2.45,2.8,0.20000000298023224,2.931666612625122,2.0999999046325684,-1.8858317136764526,-0.23985876142978668,2.472198724746704,-0.04780125617980957
metalx,920.0,2.68,2.85,2.8,0.20000000298023224,2.931666612625122,2.1466665267944336,-1.8858317136764526,-0.23985876142978668,2.6103408336639404,-0.06965923309326172
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,2.18999981880188,2.683333158493042,0.03333333507180214,-0.8517487645149231,-0.03021935746073723,1.0232504606246948,0.0032504796981811523
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,2.18999981880188,2.683333158493042,0.03333333507180214,-0.8517487645149231,-0.03021935746073723,1.0171856880187988,0.0021857023239135742
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8517487645149231,-0.03021935746073723,1.011859655380249,-0.00014030933380126953
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8517487645149231,-0.03021935746073723,1.0068738460540771,-0.0031261444091796875
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,2.18999981880188,2.683333158493042,0.01666666753590107,-0.8517487645149231,-0.03021935746073723,1.003326416015625,-0.004673600196838379
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,2.18999981880188,2.683333158493042,0.0,-0.8517487645149231,-0.03021935746073723,1.0032625198364258,-0.0027375221252441406
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,2.18999981880188,2.683333158493042,0.0,-0.8517487645149231,-0.03021935746073723,1.0102416276931763,0.0052416324615478516
highnlowk,430.0,3.9,0.0009,0.013150852968515411,4.843332767486572,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.8107359409332275,-0.0892641544342041
highnlowk,500.0,3.75,0.0007,0.00879645943005142,4.843332767486572,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.7570598125457764,0.007059812545776367
highnlowk,580.0,3.6,0.0005,0.005416539057913436,4.511666297912598,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.6479320526123047,0.04793214797973633
highnlowk,660.0,3.48,0.00038,0.003617591540497337,4.179999828338623,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.538861036300659,0.05886101722717285
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,3.8483331203460693,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.4159886837005615,0.035988569259643555
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,3.5166666507720947,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.281128406524658,-0.018871545791625977
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,3.5166666507720947,3.676666498184204,0.0650000050663948,1.215392827987671,-0.45182424783706665,3.1982951164245605,-0.04170489311218262
midkcurve,410.0,2.4,0.42,2.0,1.5266666412353516,2.683333158493042,1.5,-0.8738067746162415,0.35310667753219604,2.3357670307159424,-0.06423306465148926
midkcurve,470.0,2.33,0.36,2.0,1.5266666412353516,2.683333158493042,1.5,-0.8738067746162415,0.35310667753219604,2.3109376430511475,-0.019062280654907227
midkcurve,530.0,2.29,0.31,2.0,1.5266666412353516,2.683333158493042,1.5,-0.8738067746162415,0.35310667753219604,2.2896695137023926,-0.0003304481506347656
midkcurve,610.0,2.26,0.24,2.0,1.8583333492279053,2.683333158493042,1.5,-0.8738067746162415,0.35310667753219604,2.333221912384033,0.07322192192077637
midkcurve,690.0,2.3,0.19,1.7301524758900306,2.18999981880188,2.683333158493042,1.5,-0.8738067746162415,0.35310667753219604,2.379459857940674,0.07945990562438965
midkcurve,790.0,2.38,0.14,1.1134758772216988,2.5216665267944336,2.683333158493042,1.4666666984558105,-0.8738067746162415,0.35310667753219604,2.3837802410125732,0.0037801265716552734
midkcurve,920.0,2.5,0.1,0.6829549246934332,2.8533332347869873,2.683333158493042,1.4666666984558105,-0.8738067746162415,0.35310667753219604,2.4271645545959473,-0.07283544540405273
