rho,joint_pass,f0_rel_err,nrmse_laser_threshold,nrmse_semiconductor_edge,nrmse_mri_larmor,nrmse_atomic_clock_modes
2.34,0,0.001493653966807509,0.0002872493343537529,0.0004661234817516607,0.0,0.1822916785063365
2.3401005025125627,0,0.001478599522913449,0.0002842265323984437,0.0004614382241243473,0.0,0.1822916785063365
2.3402010050251256,0,0.0014635459518465015,0.00028120375552485876,0.000456752978584751,1.0032350741572526e-16,0.1822916785063365
2.3403015075376885,0,0.0014484932535189373,0.0002781810045506324,0.0004520677451359145,1.0032350741572526e-16,0.1822916785063365
2.340402010050251,0,0.00143344142784264,0.00027515828032931446,0.00044738252378023736,0.0,0.1822916785063365
2.340502512562814,0,0.0014183904747291072,0.00027213558375237815,0.0004426973145203388,0.0,0.1822916785063365
2.3406030150753767,0,0.0014033403940904162,0.00026911291575132824,0.00043801211735863295,0.0,0.1822916785063365
2.3407035175879396,0,0.0013882911858390302,0.00026609027729991943,0.00043332693229815935,1.0032350741572526e-16,0.1822916785063365
2.3408040201005025,0,0.0013732428498862538,0.0002630676694168773,0.00042864175934131634,1.0032350741572526e-16,0.1822916785063365
2.3409045226130654,0,0.0013581953861447438,0.0002600450931680535,0.0004239565984905261,1.0032350741572526e-16,0.1822916785063365
2.341005025125628,0,0.0013431487945261907,0.00025702254966949637,0.00041927144974880713,0.0,0.1822916785063365
2.3411055276381907,0,0.0013281030749422854,0.00025400004009037096,0.00041458631311858075,1.022498954174781e-16,0.1822916785063365
2.3412060301507536,0,0.0013130582273054912,0.0002509775656561397,0.0004099011886024706,0.0,0.1822916785063365
2.3413065326633165,0,0.0012980142515276924,0.0002479551276519409,0.00040521607620287644,0.0,0.1822916785063365
2.3414070351758793,0,0.001282971147520966,0.00024493272742655297,0.00040053097592283784,0.0,0.1822916785063365
2.341507537688442,0,0.0012679289151975822,0.0002419103663959121,0.00039584588776475177,1.022498954174781e-16,0.1822916785063365
2.341608040201005,0,0.0012528875544690389,0.00023888804604766257,0.0003911608117310529,0.0,0.1822916785063365
2.3417085427135675,0,0.0012378470652481856,0.00023586576794568917,0.00038647574782475205,1.0032350741572526e-16,0.1822916785063365
2.3418090452261304,0,0.001222807447446327,0.00023284353373504373,0.0003817906960482654,0.0,0.1822916785063365
2.3419095477386933,0,0.001207768700976313,0.00022982134514728844,0.0003771056564042141,0.0,0.1822916785063365
2.342010050251256,0,0.0011927308257498343,0.0002267992040062477,0.0003724206288950029,0.0,0.1822916785063365
2.342110552763819,0,0.0011776938216793544,0.0002237771122341729,0.0003677356135236741,0.0,0.1822916785063365
2.342211055276382,0,0.0011626576886765642,0.00022075507185876885,0.0003630506102926299,0.0,0.1822916785063365
2.3423115577889444,0,0.001147622426653927,0.00021773308502005448,0.0003583656192042812,0.0,0.1822916785063365
2.3424120603015073,0,0.0011325880355237139,0.0002147111539785525,0.0003536806402616597,0.0,0.1822916785063365
2.34251256281407,0,0.001117554515197808,0.00021168928112383999,0.00034899567346717515,0.0,0.1822916785063365
2.342613065326633,0,0.0011025218655886732,0.00020866746898384912,0.00034431071882344387,0.0,0.1822916785063365
2.342713567839196,0,0.00108749008660858,0.0002056457202349822,0.0003396257763328834,1.0032350741572526e-16,0.1822916785063365
2.342814070351759,0,0.0010724591781694124,0.00020262403771346906,0.00033494084599850816,1.0032350741572526e-16,0.1822916785063365
2.3429145728643213,0,0.0010574291401838271,0.00019960242442698065,0.0003302559278227515,1.022498954174781e-16,0.1822916785063365
2.343015075376884,0,0.0010423999725639012,0.00019658088356811257,0.000325571021808008,1.022498954174781e-16,0.1822916785063365
2.343115577889447,0,0.0010273716752217119,0.00019355941852874152,0.000320886127957313,1.022498954174781e-16,0.1822916785063365
2.34321608040201,0,0.0010123442480697228,0.0001905380329157992,0.00031620124627306114,1.022498954174781e-16,0.1822916785063365
2.343316582914573,0,0.0009973176910202046,0.00018751673056859147,0.00031151637675788717,1.022498954174781e-16,0.1822916785063365
2.3434170854271357,0,0.0009822920039854273,0.00018449551557771942,0.00030683151941420834,0.0,0.1822916785063365
2.3435175879396986,0,0.0009672671868778546,0.00018147439230631644,0.0003021466742450313,1.0032350741572526e-16,0.1822916785063365
2.343618090452261,0,0.0009522432396099502,0.00017845336541258275,0.00029746184125278163,0.0,0.1822916785063365
2.343718592964824,0,0.0009372201620934048,0.00017543243987553072,0.00029277702043986256,0.0,0.1822916785063365
2.3438190954773868,0,0.000922197954241455,0.00017241162102294254,0.0002880922118093102,0.0,0.1822916785063365
2.3439195979899496,0,0.0009071766159655981,0.00016939091456246932,0.0002834074153635206,0.0,0.1822916785063365
2.3440201005025125,0,0.0008921561471788776,0.00016637032661605318,0.00027872263110512505,1.022498954174781e-16,0.1822916785063365
2.3441206030150754,0,0.0008771365477933705,0.00016334986375814584,0.00027403785903653356,1.022498954174781e-16,0.1822916785063365
2.344221105527638,0,0.0008621178177213473,0.00016032953305855792,0.00026935309916076137,1.022498954174781e-16,0.1822916785063365
2.3443216080402007,0,0.000847099956875658,0.00015730934212950667,0.00026466835148023177,1.022498954174781e-16,0.1822916785063365
2.3444221105527636,0,0.0008320829651683798,0.00015428929917896307,0.0002599836159973463,1.022498954174781e-16,0.1822916785063365
2.3445226130653265,0,0.0008170668425123629,0.00015126941306994413,0.0002552988927151391,0.0,0.1822916785063365
2.3446231155778894,0,0.0008020515888194911,0.00014824969338716426,0.0002506141816360057,0.0,0.1822916785063365
2.3447236180904523,0,0.0007870372040026146,0.0001452301505119519,0.0002459294827625869,0.0,0.1822916785063365
2.344824120603015,0,0.0007720236879740037,0.00014221079570662703,0.000241244796097268,0.0,0.1822916785063365
2.3449246231155776,0,0.0007570110406463151,0.00013919164121022103,0.00023656012164309013,0.0,0.1822916785063365
2.3450251256281405,0,0.0007419992619322061,0.00013617270034611018,0.00023187545940246083,0.0,0.1822916785063365
2.3451256281407034,0,0.0007269883517437535,0.0001331539876450576,0.0002271908093777918,1.022498954174781e-16,0.1822916785063365
2.3452261306532662,0,0.0007119783099941939,0.0001301355189849522,0.00022250617157210047,1.022498954174781e-16,0.1822916785063365
2.345326633165829,0,0.0006969691365948317,0.00012711731175043875,0.00021782154598781178,0.0,0.1822916785063365
2.345427135678392,0,0.0006819608314596762,0.00012409938501583109,0.00021313693262751937,1.0032350741572526e-16,0.1822916785063365
2.3455276381909544,0,0.0006669533945004183,0.00012108175975525363,0.0002084523314936597,1.0032350741572526e-16,0.1822916785063365
2.3456281407035173,0,0.0006519468256297146,0.00011806445908488042,0.00020376774258924266,1.0032350741572526e-16,0.1822916785063365
2.34572864321608,0,0.0006369411247606087,0.00011504750854353194,0.00019908316591667427,0.0,0.1822916785063365
2.345829145728643,0,0.0006219362918051776,0.00011203093641765298,0.0001943986014783759,1.022498954174781e-16,0.1822916785063365
2.345929648241206,0,0.0006069323266762715,0.00010901477412090034,0.00018971404927736702,1.022498954174781e-16,0.1822916785063365
2.346030150753769,0,0.000591929229286547,0.00010599905663787366,0.00018502950931606395,1.022498954174781e-16,0.1822916785063365
2.3461306532663313,0,0.0005769269995488546,0.00010298382304556492,0.00018034498159707343,0.0,0.1822916785063365
2.346231155778894,0,0.0005619256373754644,9.996911712881685e-05,0.00017566046612280944,1.973340125842398e-16,0.1822916785063365
2.346331658291457,0,0.0005469251426788401,9.695498810998331e-05,0.00017097596289628644,1.0032350741572526e-16,0.1822916785063365
2.34643216080402,0,0.0005319255153724116,9.39414915188637e-05,0.00016629147191993352,1.0032350741572526e-16,0.1822916785063365
2.346532663316583,0,0.0005169267553682558,9.092869023384491e-05,0.00016160699319614364,1.0032350741572526e-16,0.1822916785063365
2.3466331658291457,0,0.0005019288625796096,8.791665573695652e-05,0.00015692252672795356,1.022498954174781e-16,0.1822916785063365
2.3467336683417086,0,0.0004869318369183568,8.490546963400438e-05,0.00015223807251776603,1.022498954174781e-16,0.1822916785063365
2.346834170854271,0,0.0004719356782983136,8.189522550823788e-05,0.00014755363056819396,1.0032350741572526e-16,0.1822916785063365
2.346934673366834,0,0.0004569403866315572,7.888603119551282e-05,0.00014286920088165618,1.0032350741572526e-16,0.1822916785063365
2.347035175879397,0,0.0004419459618307445,7.587801159756454e-05,0.00013818478346116881,1.0032350741572526e-16,0.1822916785063365
2.3471356783919597,0,0.000426952403809112,7.287131218589287e-05,0.0001335003783091341,1.022498954174781e-16,0.1822916785063365
2.3472361809045226,0,0.00041195971247912343,6.986610340401812e-05,0.00012881598542797894,0.0,0.1822916785063365
2.3473366834170855,0,0.00039696788775343556,6.686258624597939e-05,0.0001241316048207186,1.9445285297757483e-16,0.1822916785063365
2.347437185929648,0,0.000381976929545285,6.386099939410973e-05,0.00011944723648975089,0.0,0.1822916785063365
2.347537688442211,0,0.0003669868377673286,6.086162844683556e-05,0.000114762880437717,0.0,0.1822916785063365
2.3476381909547737,0,0.0003519976123322233,5.786481798347269e-05,0.00011007853666700051,0.0,0.1822916785063365
2.3477386934673365,0,0.00033700925315281906,5.4870987532434104e-05,0.00010539420518063937,1.022498954174781e-16,0.1822916785063365
2.3478391959798994,0,0.0003220217601423525,5.188065299117926e-05,0.00010070988598103538,0.0,0.1822916785063365
2.3479396984924623,0,0.0003070351332132874,4.889445578253512e-05,9.602557907060482e-05,0.0,0.1822916785063365
2.348040201005025,0,0.0002920493722784737,4.5913203190620293e-05,9.134128445236016e-05,0.0,0.1822916785063365
2.3481407035175876,0,0.0002770644772513412,4.2937925167024193e-05,8.665700212872118e-05,0.0,0.1822916785063365
2.3482412060301505,0,0.0002620804480443536,3.996995593627921e-05,8.197273210229032e-05,0.0,0.1822916785063365
2.3483417085427134,0,0.000247097284570361,3.7011053847662035e-05,7.728847437549469e-05,1.0032350741572526e-16,0.1822916785063365
2.3484422110552763,0,0.00023211498674240665,3.406358181049502e-05,7.260422895133091e-05,1.0032350741572526e-16,0.1822916785063365
2.348542713567839,0,0.00021713355447372724,3.113078659589566e-05,6.79199958322357e-05,1.0032350741572526e-16,0.1822916785063365
2.348643216080402,0,0.0002021529876765931,2.8217244937648066e-05,6.323577502059679e-05,0.0,0.1822916785063365
2.3487437185929645,0,0.00018717328626501376,2.5329601637935785e-05,5.8551566519441394e-05,0.0,0.1822916785063365
2.3488442211055274,0,0.00017219445015087315,2.2477840106979326e-05,5.386737033118925e-05,0.0,0.1822916785063365
2.3489447236180903,0,0.00015721647924798755,1.9677566975783625e-05,4.9183186458438994e-05,0.0,0.1822916785063365
2.349045226130653,0,0.00014223937346882054,1.6954313839517305e-05,4.4499014903607776e-05,0.0,0.1822916785063365
2.349145728643216,0,0.000127263132726802,1.4351990904651654e-05,3.981485566971982e-05,1.0032350741572526e-16,0.1822916785063365
2.349246231155779,0,0.00011228775693458876,1.1949866005887412e-05,3.5130708759170187e-05,1.022498954174781e-16,0.1822916785063365
2.349346733668342,0,9.731324600561064e-05,9.89483307910236e-06,3.0446574174380035e-05,1.022498954174781e-16,0.18229167868721852
2.3494472361809042,0,8.233959985252449e-05,8.444223779667501e-06,2.5762451918376966e-05,0.0,0.23968959810873425
2.349547738693467,0,6.736681838876013e-05,7.936679298804424e-06,2.10783419935486e-05,0.0,0.25779936375085943
2.34964824120603,0,5.239490152716766e-05,8.541991033487465e-06,1.6394244402518994e-05,0.0,0.2577993637508705
2.349748743718593,0,3.7423849181176905e-05,1.0061267952616047e-05,1.1710159147698976e-05,1.022498954174781e-16,0.25779936375080675
2.3498492462311558,0,2.245366126325147e-05,1.2156536689586874e-05,7.026086232104694e-06,1.022498954174781e-16,0.257798429260042
2.3499497487437186,0,7.4843376872076515e-06,1.4581578283207005e-05,2.342025658148566e-06,1.0032350741572526e-16,0.22048880691387363
2.35,1,0.0,1.587139673292017e-05,0.0,1.022498954174781e-16,7.361173348133209e-10
