wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,n_model,n_err
404.7,1.4696,0.0,0.0,7.229833093295944,2.35,0.0,1.4696,0.0
435.8,1.4667,0.0,0.0,7.172934517043298,2.35,0.0,1.4667,0.0
486.1,1.4631,0.0,0.0,7.102769799218079,2.35,0.0,1.4631,0.0
546.1,1.4601,0.0,0.0,7.044693490567851,2.35,0.0,1.4601,0.0
589.3,1.4585,0.0,0.0,7.013865476387346,2.35,0.0,1.4585,0.0
632.8,1.457,0.0,0.0,6.985056209041551,2.35,0.0,1.457,0.0
656.3,1.4565,0.0,0.0,6.975472871458096,2.35,0.0,1.4565,0.0
