material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,6.501666069030762,5.166666030883789,1.568282961845398,0.1750234067440033,4.742473602294922,0.042473793029785156
si,550.0,4.3,0.055,0.6283185307179585,6.501666069030762,5.166666030883789,1.2666901350021362,0.1750234067440033,4.214208602905273,-0.08579158782958984
si,650.0,3.88,0.02,0.1933287786824488,6.8333330154418945,5.166666030883789,0.9349379539489746,0.1750234067440033,3.8670356273651123,-0.012964487075805664
si,850.0,3.68,0.006,0.044351896285973545,7.164999485015869,5.414999485015869,0.6936636567115784,0.1750234067440033,3.7055108547210693,0.025510787963867188
si,1000.0,3.57,0.001,0.006283185307179586,7.164999485015869,5.414999485015869,0.5428671836853027,0.1750234067440033,3.600771427154541,0.030771493911743164
sio2,404.7,1.4696,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4637681245803833,-0.0058318376541137695
sio2,435.8,1.4667,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623594284057617,-0.004340529441833496
sio2,486.1,1.4631,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4608179330825806,-0.0022820234298706055
sio2,546.1,1.4601,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4601701498031616,7.009506225585938e-05
sio2,589.3,1.4585,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4605059623718262,0.002005934715270996
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4615228176116943,0.004522800445556641
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623554944992065,0.005855441093444824
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.029468178749084473,1.4941836595535278,-0.005816340446472168
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029468178749084473,1.4924980401992798,-0.002501964569091797
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029468178749084473,1.492041826248169,4.184246063232422e-05
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029468178749084473,1.492475986480713,0.0024759769439697266
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.029468178749084473,1.4938005208969116,0.005800485610961914
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,-0.006180793046951294,4.441310882568359,0.021310806274414062
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.5999999046325684,-0.006180793046951294,4.266028881072998,0.086029052734375
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.006180793046951294,4.0901312828063965,0.14013123512268066
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.006180793046951294,3.9305858612060547,0.15058588981628418
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,-0.006180793046951294,3.748669385910034,0.0886693000793457
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,-0.006180793046951294,3.6036319732666016,0.023632049560546875
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.4333332777023315,-0.006180793046951294,3.314260244369507,-0.18573975563049316
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.676666498184204,1.3333332538604736,-0.006180793046951294,3.1253817081451416,-0.3246183395385742
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,2.25,0.12,1.7951958020513101,0.53166663646698,2.683333158493042,1.3333332538604736,-0.22831283509731293,1.9133998155593872,-0.3366001844406128
metalx,500.0,2.05,0.55,2.0,0.20000000298023224,2.683333158493042,1.1666666269302368,-0.22831283509731293,2.019972562789917,-0.030027389526367188
metalx,580.0,1.88,1.05,2.0,0.20000000298023224,2.683333158493042,0.9333333969116211,-0.22831283509731293,1.9206475019454956,0.04064750671386719
metalx,660.0,1.72,1.55,2.0,0.20000000298023224,2.683333158493042,0.7666667103767395,-0.22831283509731293,1.795021653175354,0.07502162456512451
metalx,740.0,1.58,2.05,2.0,0.20000000298023224,2.683333158493042,0.6333333849906921,-0.22831283509731293,1.6679078340530396,0.08790779113769531
metalx,820.0,1.48,2.45,2.0,0.20000000298023224,2.683333158493042,0.5333333611488342,-0.22831283509731293,1.5566304922103882,0.07663047313690186
metalx,920.0,1.4,2.85,2.0,0.20000000298023224,2.683333158493042,0.46666669845581055,-0.22831283509731293,1.4864201545715332,0.08642017841339111
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04734808951616287,1.0108394622802734,-0.009160518646240234
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.04734808951616287,1.0080779790878296,-0.006922006607055664
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0059559345245361,-0.00604403018951416
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0050876140594482,-0.004912376403808594
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.04734808951616287,1.0064388513565063,-0.0015611648559570312
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.0,-0.04734808951616287,1.0132055282592773,0.007205486297607422
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.0,-0.04734808951616287,1.026394248008728,0.02139425277709961
