rho,joint_pass,f0_rel_err,gamma_rel_err,failed_gates,laser_threshold_nrmse_y,laser_threshold_shape_pass,semiconductor_cutoff_nrmse_y,semiconductor_cutoff_shape_pass,mri_larmor_nrmse_y,mri_larmor_shape_pass,atomic_clock_modes_nrmse_y,atomic_clock_modes_shape_pass
2.3,0,0.007555572198634518,0.0,atomic_clock_modes;f0_gate,0.0014907002365586747,1,0.0023317880226371044,1,0.0,1,0.1822916785063365,0
2.300200400801603,0,0.007524847818438537,0.0,atomic_clock_modes;f0_gate,0.0014846705657607974,1,0.002322436509029814,1,0.0,1,0.1822916785063365,0
2.3004008016032063,0,0.007494127051718162,0.0,atomic_clock_modes;f0_gate,0.0014786408956626268,1,0.0023130850393312833,1,0.0,1,0.1822916785063365,0
2.3006012024048093,0,0.007463409897734259,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.001472611226272588,1,0.002303733613562668,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.3008016032064127,0,0.007432696355746346,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0014665815575995872,1,0.002294382231744524,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.3010020040080157,0,0.007401986425015871,0.0,atomic_clock_modes;f0_gate,0.0014605518896524156,1,0.0022850308938979847,1,0.0,1,0.1822916785063365,0
2.301202404809619,0,0.007371280104803508,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.001454522222440023,1,0.0022756796000440132,1,1.022498954174781e-16,1,0.1822916785063365,0
2.301402805611222,0,0.007340577394370705,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0014484925559717415,1,0.0022663283502035495,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.3016032064128256,0,0.007309878292978138,0.0,atomic_clock_modes;f0_gate,0.001442462890256749,1,0.002256977144397548,1,0.0,1,0.1822916785063365,0
2.3018036072144286,0,0.007279182799887834,0.0,atomic_clock_modes;f0_gate,0.0014364332253046892,1,0.002247625982647147,1,0.0,1,0.1822916785063365,0
2.302004008016032,0,0.007248490914362016,0.0,atomic_clock_modes;f0_gate,0.0014304035611251305,1,0.0022382748649728912,1,0.0,1,0.1822916785063365,0
2.302204408817635,0,0.007217802635661743,0.0,atomic_clock_modes;f0_gate,0.0014243738977278012,1,0.002228923791395918,1,0.0,1,0.1822916785063365,0
2.3024048096192384,0,0.007187117963050009,0.0,atomic_clock_modes;f0_gate,0.0014183442351228426,1,0.002219572761937179,1,0.0,1,0.1822916785063365,0
2.3026052104208414,0,0.0071564368957892305,0.0,atomic_clock_modes;f0_gate,0.0014123145733203162,1,0.0022102217766176106,1,0.0,1,0.1822916785063365,0
2.302805611222445,0,0.007125759433141435,0.0,atomic_clock_modes;f0_gate,0.001406284912330471,1,0.0022008708354581638,1,0.0,1,0.1822916785063365,0
2.303006012024048,0,0.0070950855743700005,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0014002552521639553,1,0.002191519938479967,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.3032064128256513,0,0.007064415318737923,0.0,atomic_clock_modes;f0_gate,0.0013942255928312997,1,0.002182169085703566,1,0.0,1,0.1822916785063365,0
2.3034068136272543,0,0.0070337486655085825,0.0,atomic_clock_modes;f0_gate,0.0013881959343435347,1,0.002172818277150091,1,0.0,1,0.1822916785063365,0
2.3036072144288577,0,0.007003085613945359,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0013821662767116245,1,0.00216346751284048,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.3038076152304607,0,0.006972426163311827,0.0,atomic_clock_modes;f0_gate,0.0013761366199467483,1,0.00215411679279568,1,0.0,1,0.1822916785063365,0
2.304008016032064,0,0.006941770312872333,0.0,atomic_clock_modes;f0_gate,0.0013701069640605103,1,0.0021447661170366163,1,0.0,1,0.1822916785063365,0
2.304208416833667,0,0.0069111180618910304,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.001364077309064483,1,0.0021354154855844293,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.30440881763527,0,0.006880469409631492,0.0,atomic_clock_modes;f0_gate,0.0013580476549704427,1,0.002126064898459638,1,0.0,1,0.1822916785063365,0
2.3046092184368736,0,0.006849824355359418,0.0,atomic_clock_modes;f0_gate,0.0013520180017906132,1,0.0021167143556833925,1,0.0,1,0.1822916785063365,0
2.3048096192384766,0,0.006819182898338961,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0013459883495372076,1,0.002107363857276614,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.30501002004008,0,0.006788545037835242,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0013399586982226516,1,0.0020980134032602352,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.305210420841683,0,0.006757910773113379,0.0,atomic_clock_modes;f0_gate,0.0013339290478598343,1,0.0020886629936551853,1,0.0,1,0.1822916785063365,0
2.3054108216432865,0,0.006727280103439072,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0013278993984615608,1,0.0020793126284826043,1,1.022498954174781e-16,1,0.1822916785063365,0
2.3056112224448895,0,0.006696653028078214,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0013218697500411891,1,0.002069962307762995,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.305811623246493,0,0.00666602954629573,0.0,atomic_clock_modes;f0_gate,0.0013158401026120902,1,0.0020606120315175016,1,0.0,1,0.1822916785063365,0
2.306012024048096,0,0.006635409657358867,0.0,atomic_clock_modes;f0_gate,0.0013098104561878618,1,0.002051261799767045,1,0.0,1,0.1822916785063365,0
2.3062124248496993,0,0.006604793360532744,0.0,atomic_clock_modes;f0_gate,0.0013037808107826108,1,0.0020419116125325594,1,0.0,1,0.1822916785063365,0
2.3064128256513023,0,0.006574180655084991,0.0,atomic_clock_modes;f0_gate,0.001297751166410461,1,0.0020325614698349518,1,0.0,1,0.1822916785063365,0
2.306613226452906,0,0.006543571540281696,0.0,atomic_clock_modes;f0_gate,0.0012917215230858032,1,0.0020232113716953616,1,0.0,1,0.1822916785063365,0
2.306813627254509,0,0.00651296601538991,0.0,atomic_clock_modes;f0_gate,0.0012856918808235313,1,0.002013861318134304,1,0.0,1,0.1822916785063365,0
2.307014028056112,0,0.0064823640796766845,0.0,atomic_clock_modes;f0_gate,0.0012796622396385022,1,0.0020045113091728935,1,0.0,1,0.1822916785063365,0
2.307214428857715,0,0.006451765732409845,0.0,atomic_clock_modes;f0_gate,0.0012736325995461764,1,0.0019951613448320536,1,0.0,1,0.1822916785063365,0
2.3074148296593187,0,0.006421170972856251,0.0,atomic_clock_modes;f0_gate,0.0012676029605620703,1,0.0019858114251327147,1,0.0,1,0.1822916785063365,0
2.3076152304609217,0,0.006390579800284498,0.0,atomic_clock_modes;f0_gate,0.0012615733227019886,1,0.001976461550095992,1,0.0,1,0.1822916785063365,0
2.307815631262525,0,0.006359992213961834,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0012555436859822866,1,0.001967111719742384,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.308016032064128,0,0.0063294082131570475,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0012495140504193117,1,0.0019577619340930288,1,1.0032350741572526e-16,1,0.1822916785063365,0
2.308216432865731,0,0.006298827797138159,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0012434844160300591,1,0.0019484121931688276,1,1.022498954174781e-16,1,0.1822916785063365,0
2.3084168336673345,0,0.006268250965174537,1.6688417120983165e-16,atomic_clock_modes;f0_gate,0.0012374547828315973,1,0.0019390624969907104,1,1.0032350741572526e-16,1,0.1822916785063365,0
