mapping,protocol,window,pair_count,Eab,Eabp,Eapb,Eapbp,S,engineering_pass,thesis_pass
legacy,strict,0,136632,0.9989774338237003,0.9980977239045323,0.9979612207190944,0.65876052027544,2.336275858171887,true,true
legacy,standard,10,144790,0.9941124246530536,0.9786063435698472,0.9641021389487647,0.09225274048528144,2.8445681666863845,true,true
parity,strict,0,136632,0.9987915127007367,0.9972571833042093,0.9977913224456857,0.6664116296863045,2.3274283887643272,true,true
parity,standard,10,144790,0.9929909817298257,0.9772034808531159,0.9638948764715636,0.09791846286488484,2.83617087618962,true,true
