mu,rho,bw_opt,loss,joint_pass
1.45,2.1,4.8611405614885354e-05,1.4886655221691978,0
1.4605263157894737,2.1,3.8271781539634225e-05,1.4889082782383087,0
1.4710526315789474,2.1,6.754772733255963e-05,1.489162288913984,0
1.481578947368421,2.1,4.4162580542707794e-05,1.4894256388828582,0
1.4921052631578946,2.1,3.2634722299701807e-05,1.4896967108157257,0
1.5026315789473683,2.1,5.433740155009463e-05,1.4899741446093702,0
1.513157894736842,2.1,4.777531521587185e-05,1.490256798544539,0
1.5236842105263158,2.1,6.514650789779515e-05,1.4905437143799136,0
1.5342105263157895,2.1,7.944752431922264e-05,1.4908340870721164,0
1.5495,2.1,3.1956132741022333e-05,1.4912606467613971,0
1.5552631578947367,2.1,4.8534902420202997e-05,1.4914225988770362,0
1.5657894736842104,2.1,4.601208248057448e-05,1.4917196830861892,0
1.5763157894736841,2.1,5.641942814371949e-05,1.492018081775609,0
1.5868421052631578,2.1,4.409623385573565e-05,1.4923174463115254,0
1.5973684210526315,2.1,7.144152559809383e-05,1.4926174793702618,0
1.6078947368421053,2.1,5.5239626899992764e-05,1.4929179267066683,0
1.6184210526315788,2.1,6.134657054939905e-05,1.4932185703607777,0
1.6289473684210525,2.1,7.880507357810394e-05,1.4935192230386662,0
1.6394736842105262,2.1,6.121422492519892e-05,1.4938197234519401,0
1.65,2.1,6.0308042472304176e-05,1.4941199324406333,0
1.45,2.126315789473684,7.562560746317283e-05,1.2124466191769192,0
1.4605263157894737,2.126315789473684,7.597123569626687e-05,1.2126732434112026,0
1.4710526315789474,2.126315789473684,5.773265056671082e-05,1.2129148365020312,0
1.481578947368421,2.126315789473684,4.777282875347121e-05,1.2131687187081932,0
1.4921052631578946,2.126315789473684,4.1074842615749195e-05,1.21343264545862,0
1.5026315789473683,2.126315789473684,2.121158488393281e-05,1.213704752517483,0
1.513157894736842,2.126315789473684,4.9152051207675246e-05,1.213983498309117,0
1.5236842105263158,2.126315789473684,5.134366178799677e-05,1.2142676100124847,0
1.5342105263157895,2.126315789473684,2.1325433521147125e-05,1.2145560362347774,0
1.5495,2.126315789473684,4.9889172892417176e-05,1.2149809117449206,0
1.5552631578947367,2.126315789473684,4.412355924760205e-05,1.2151425002896301,0
1.5657894736842104,2.126315789473684,7.372345360714087e-05,1.2154392154543614,0
1.5763157894736841,2.126315789473684,5.3286230117913295e-05,1.2157375506458075,0
1.5868421052631578,2.126315789473684,6.368407130250503e-05,1.2160370852774458,0
1.5973684210526315,2.126315789473684,5.331887678806288e-05,1.216337465578313,0
1.6078947368421053,2.126315789473684,7.509378246159477e-05,1.2166383929554438,0
1.6184210526315788,2.126315789473684,5.4980781837255275e-05,1.2169396145646736,0
1.6289473684210525,2.126315789473684,6.221046284234536e-05,1.2172409156491921,0
1.6394736842105262,2.126315789473684,7.091741899679788e-05,1.2175421132934152,0
1.65,2.126315789473684,2.4785922820521175e-05,1.217843051311674,0
1.45,2.1526315789473687,7.510628664889721e-05,0.9727339995020726,0
1.4605263157894737,2.1526315789473687,5.2715889226736643e-05,0.9729368443893462,0
1.4710526315789474,2.1526315789473687,3.059955832059661e-05,0.9731604355393902,0
1.481578947368421,2.1526315789473687,6.555439332132676e-05,0.9734008632778556,0
1.4921052631578946,2.1526315789473687,8.393775827421477e-05,0.973654857785584,0
1.5026315789473683,2.1526315789473687,5.087513640650898e-05,0.9739197327069486,0
1.513157894736842,2.1526315789473687,3.7579902156165934e-05,0.974193302943344,0
1.5236842105263158,2.1526315789473687,4.4450672420848856e-05,0.9744737992678913,0
1.5342105263157895,2.1526315789473687,4.5794818294976086e-05,0.9747597905613435,0
1.5495,2.1526315789473687,7.944442656706195e-05,0.9751826554965562,0
1.5552631578947367,2.1526315789473687,3.643569899064921e-05,0.9753438384024583,0
1.5657894736842104,2.1526315789473687,4.4609654764153336e-05,0.9756401849717372,0
1.5763157894736841,2.1526315789473687,4.6454070110074836e-05,0.9759385280308299,0
1.5868421052631578,2.1526315789473687,2.9188025890338653e-05,0.976238349777759,0
1.5973684210526315,2.1526315789473687,1.8460949622526538e-05,0.9765392221415121,0
1.6078947368421053,2.1526315789473687,5.372243945637256e-05,0.9768407896454219,0
1.6184210526315788,2.1526315789473687,8.466323837564371e-05,0.9771427558368928,0
1.6289473684210525,2.1526315789473687,8.160320573697165e-05,0.9774448725022725,0
1.6394736842105262,2.1526315789473687,6.246849731440217e-05,0.9777469310581324,0
