rho,bw_opt,loss,joint_pass
2.1,4.8611405614885354e-05,1.4912606467613971,0
2.110204081632653,5.661392963150563e-05,1.37968959965596,0
2.120408163265306,2.2597455865448228e-05,1.2737653502653907,0
2.1306122448979594,6.723775387166782e-05,1.173384240602798,0
2.1408163265306124,5.714854722313734e-05,1.0784447902259846,0
2.1510204081632653,4.7076534969945636e-05,0.9888476435791137,0
2.1612244897959183,2.3209210019909386e-05,0.9044955192986199,0
2.1714285714285717,6.620593266630215e-05,0.8252931615868182,0
2.1816326530612247,8.031473437412299e-05,0.75114729383269,0
2.1918367346938776,7.870598035061372e-05,0.6819665747733505,0
2.2020408163265306,2.18980000730521e-05,0.6176615576726454,0
2.2122448979591836,7.890361474846099e-05,0.5581446532869432,0
2.222448979591837,6.687055282407599e-05,0.5033300978782754,0
2.23265306122449,4.927269327041377e-05,0.4531339283735344,0
2.242857142857143,1.9154568201902867e-05,0.40747396825036686,0
2.253061224489796,2.2855605122768846e-05,0.3662108456177392,0
2.2632653061224492,5.80602485689714e-05,0.3293708182619008,0
2.273469387755102,8.166135223520581e-05,0.2968277276382086,0
2.283673469387755,4.158657490915764e-05,0.2685054637305697,0
2.293877551020408,5.6781915811157206e-05,0.2443294234211526,0
2.304081632653061,7.880507357810394e-05,0.22422647548374483,0
2.3142857142857145,6.0444615880133804e-05,0.20812492676121885,0
2.3244897959183675,7.958814671883268e-05,0.19595449014871136,0
2.3346938775510204,5.593406870398855e-05,0.18764625858511413,0
2.3448979591836734,4.385612850415508e-05,0.18313276349734706,0
2.35,2.9999999824059098e-05,1.587232258815635e-05,1
2.355102040816327,6.464558598721188e-05,0.18315747721105105,0
2.3653061224489798,6.41977414195255e-05,0.18760034394524425,0
2.3755102040816327,3.9005639282346044e-05,0.1956426602106977,0
2.3857142857142857,7.690538152287828e-05,0.20722182468933947,0
2.3959183673469386,4.024362245413813e-05,0.22227650235952234,0
2.406122448979592,4.936145640418921e-05,0.2407465334498718,0
2.416326530612245,3.125714691276924e-05,0.26257290198120076,0
2.426530612244898,6.52554889694513e-05,0.28769770924419846,0
2.436734693877551,2.2109904003677303e-05,0.3160641487058653,0
2.4469387755102043,6.462726111623226e-05,0.34761648176042415,0
2.4571428571428573,6.532853904455434e-05,0.3823023715240986,0
2.4673469387755103,2.9384618874470143e-05,0.42006078917885625,0
2.477551020408163,7.688214723095882e-05,0.4608442751836715,0
2.4877551020408166,2.7837898863928613e-05,0.5046010857768817,0
2.4979591836734696,5.861229008559189e-05,0.5512804462726718,0
2.5081632653061225,5.9640140092878126e-05,0.600832526263133,0
2.5183673469387755,6.597394097513154e-05,0.6532084168247503,0
2.5285714285714285,5.8093358653399854e-05,0.7083601091270637,0
2.538775510204082,6.059069957320193e-05,0.7662404740930976,0
2.548979591836735,6.63152258173219e-05,0.8268032428977058,0
2.559183673469388,5.97309700034811e-05,0.8900029881677207,0
2.5693877551020408,4.7755663938273384e-05,0.9557951057936476,0
2.5795918367346937,5.7217117240528915e-05,1.02413579728983,0
2.589795918367347,6.195358586179374e-05,1.094982052658028,0
2.6,4.101099256108304e-05,1.1682916337197946,0
