wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,n_model,n_err
450.0,4.7,0.15,2.0943951023931953,602.4794266947272,2.4875,0.4875,4.7,0.0
550.0,4.3,0.055,0.6283185307179585,422.1089998430962,2.4875,0.425,4.3,0.0
650.0,3.88,0.02,0.1933287786824488,279.819316845088,2.4875,0.3625,3.8800000000000003,4.440892098500626e-16
850.0,3.68,0.006,0.044351896285973545,226.4342219833803,2.4875,0.325,3.68,0.0
1000.0,3.57,0.001,0.006283185307179586,200.55045611200774,2.4875,0.3125,3.57,0.0
