wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,n_model,n_err
450.0,4.7,0.15,1.0,7.46218487394958,3.527731092436975,0.7375,2.4578056636877026,-2.2421943363122976
550.0,4.3,0.055,0.6283185307179585,7.46218487394958,3.361344537815126,0.6375,2.391198682433662,-1.9088013175663376
650.0,3.88,0.02,0.1933287786824488,7.46218487394958,3.361344537815126,0.5,2.3671840697838684,-1.5128159302161315
850.0,3.68,0.006,0.044351896285973545,7.46218487394958,3.6941176470588237,0.4125,2.4519938069923612,-1.228006193007639
1000.0,3.57,0.001,0.006283185307179586,7.712605042016807,4.026890756302521,0.3625,2.670988968309611,-0.8990110316903888
