material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,material_tilt,n_model,n_err
highnlowk,430.0,3.9,0.0009,0.013150852968515411,4.179999828338623,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.8319191932678223,-0.06808090209960938
highnlowk,500.0,3.75,0.0007,0.00879645943005142,4.179999828338623,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.7546579837799072,0.0046579837799072266
highnlowk,580.0,3.6,0.0005,0.005416539057913436,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.6132235527038574,0.013223648071289062
highnlowk,660.0,3.48,0.00038,0.003617591540497337,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.5295357704162598,0.04953575134277344
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.4281461238861084,0.04814600944519043
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.311260461807251,0.011260509490966797
highnlowk,1020.0,3.24,0.00013,0.0008007981273856334,3.8483331203460693,3.676666498184204,0.0650000050663948,1.2612429857254028,-0.6741976141929626,3.181257486343384,-0.058742523193359375
