material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.8095573684677206,6.8333330154418945,5.414999485015869,1.5079643726348877,0.1892838478088379,4.719942569732666,0.019942760467529297
si,550.0,4.3,0.055,0.6283185307179585,7.164999485015869,5.414999485015869,1.1762123107910156,0.1892838478088379,4.227295875549316,-0.07270431518554688
si,650.0,3.88,0.02,0.1933287786824488,7.164999485015869,5.414999485015869,0.8444600701332092,0.1892838478088379,3.854252338409424,-0.02574777603149414
si,850.0,3.68,0.006,0.044351896285973545,7.496665954589844,5.663332939147949,0.603185772895813,0.1892838478088379,3.709117889404297,0.029117822647094727
si,1000.0,3.57,0.001,0.006283185307179586,7.496665954589844,5.663332939147949,0.45238932967185974,0.1892838478088379,3.619391441345215,0.04939150810241699
sio2,404.7,1.4696,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4637681245803833,-0.0058318376541137695
sio2,435.8,1.4667,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623594284057617,-0.004340529441833496
sio2,486.1,1.4631,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4608179330825806,-0.0022820234298706055
sio2,546.1,1.4601,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4601701498031616,7.009506225585938e-05
sio2,589.3,1.4585,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4605059623718262,0.002005934715270996
sio2,632.8,1.457,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4615228176116943,0.004522800445556641
sio2,656.3,1.4565,0.0,0.0,1.1949999332427979,2.683333158493042,0.0,-0.01745210401713848,1.4623554944992065,0.005855441093444824
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.1949999332427979,2.683333158493042,0.03333333507180214,-0.02933323383331299,1.4943186044692993,-0.005681395530700684
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.02933323383331299,1.4926329851150513,-0.0023670196533203125
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.1949999332427979,2.683333158493042,0.01666666753590107,-0.02933323383331299,1.4921767711639404,0.0001767873764038086
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.1949999332427979,2.683333158493042,0.0,-0.02933323383331299,1.4922734498977661,0.0022734403610229492
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.1949999332427979,2.683333158493042,0.0,-0.02933323383331299,1.493598222732544,0.005598187446594238
gaas,450.0,4.42,1.9,2.0,2.8533332347869873,2.931666612625122,1.6333333253860474,0.0005913078784942627,4.44717264175415,0.027172565460205078
gaas,500.0,4.18,1.45,2.0,2.8533332347869873,2.931666612625122,1.5999999046325684,0.0005913078784942627,4.271890640258789,0.09189081192016602
gaas,550.0,3.95,1.08,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.0005913078784942627,4.0959930419921875,0.14599299430847168
gaas,600.0,3.78,0.74,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.0005913078784942627,3.936447858810425,0.1564478874206543
gaas,650.0,3.66,0.47,2.0,2.8533332347869873,2.931666612625122,1.566666603088379,0.0005913078784942627,3.7545313835144043,0.09453129768371582
gaas,700.0,3.58,0.28,2.0,3.184999942779541,3.179999828338623,1.5333333015441895,0.0005913078784942627,3.6094939708709717,0.029494047164916992
gaas,800.0,3.5,0.12,0.9424777960769378,3.5166666507720947,3.428333282470703,1.399999976158142,0.0005913078784942627,3.2942988872528076,-0.20570111274719238
gaas,900.0,3.45,0.06,0.418879020478639,3.8483331203460693,3.676666498184204,1.2999999523162842,0.0005913078784942627,3.110171318054199,-0.3398287296295166
air,450.0,1.00028,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.000584721565246582
air,550.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,0.9990906119346619,-0.0011793971061706543
air,650.0,1.00027,0.0,0.0,0.20000000298023224,2.683333158493042,0.0,-0.01028780173510313,1.0008647441864014,0.0005947351455688477
water,450.0,1.34,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,-0.004408717155456543
water,550.0,1.334,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3338172435760498,-0.00018274784088134766
water,650.0,1.331,0.0,0.0,0.8633332848548889,2.683333158493042,0.0,-0.0027266342658549547,1.3355913162231445,0.00459134578704834
metalx,420.0,2.25,0.12,1.7951958020513101,0.53166663646698,2.683333158493042,1.399999976158142,-0.2546892464160919,1.9181361198425293,-0.3318638801574707
metalx,500.0,2.05,0.55,2.0,0.20000000298023224,2.683333158493042,1.1999999284744263,-0.2546892464160919,2.010348320007324,-0.03965163230895996
metalx,580.0,1.88,1.05,2.0,0.20000000298023224,2.683333158493042,0.9666666984558105,-0.2546892464160919,1.9163968563079834,0.03639686107635498
metalx,660.0,1.72,1.55,2.0,0.20000000298023224,2.683333158493042,0.8000000715255737,-0.2546892464160919,1.7941911220550537,0.07419109344482422
metalx,740.0,1.58,2.05,2.0,0.20000000298023224,2.683333158493042,0.6666666865348816,-0.2546892464160919,1.669630527496338,0.08963048458099365
metalx,820.0,1.48,2.45,2.0,0.20000000298023224,2.683333158493042,0.5666667222976685,-0.2546892464160919,1.560027837753296,0.08002781867980957
metalx,920.0,1.4,2.85,2.0,0.20000000298023224,2.683333158493042,0.5,-0.2546892464160919,1.4912693500518799,0.09126937389373779
ultralowk,400.0,1.02,1e-10,1.5707963267948966e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.047539301216602325,1.0108394622802734,-0.009160518646240234
ultralowk,460.0,1.015,8e-11,1.0927278795094931e-09,0.20000000298023224,2.434999942779541,0.03333333507180214,-0.047539301216602325,1.0080779790878296,-0.006922006607055664
ultralowk,520.0,1.012,6e-11,7.24982920059183e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.047539301216602325,1.0059559345245361,-0.00604403018951416
ultralowk,600.0,1.01,4e-11,4.18879020478639e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.047539301216602325,1.0050876140594482,-0.004912376403808594
ultralowk,700.0,1.008,3e-11,2.692793703076965e-10,0.20000000298023224,2.434999942779541,0.01666666753590107,-0.047539301216602325,1.0064388513565063,-0.0015611648559570312
ultralowk,850.0,1.006,2.2e-11,1.6262361971523635e-10,0.20000000298023224,2.434999942779541,0.0,-0.047539301216602325,1.0132055282592773,0.007205486297607422
ultralowk,1000.0,1.005,1.8e-11,1.1309733552923252e-10,0.20000000298023224,2.434999942779541,0.0,-0.047539301216602325,1.026394248008728,0.02139425277709961
highnlowk,430.0,3.9,0.0009,0.013150852968515411,7.828332901000977,6.408332824707031,0.10000000894069672,0.027153117582201958,3.678598642349243,-0.22140145301818848
highnlowk,500.0,3.75,0.0007,0.00879645943005142,7.496665954589844,6.408332824707031,0.0833333358168602,0.027153117582201958,3.6263670921325684,-0.12363290786743164
highnlowk,580.0,3.6,0.0005,0.005416539057913436,7.164999485015869,6.159999370574951,0.06666667014360428,0.027153117582201958,3.554194450378418,-0.04580545425415039
highnlowk,660.0,3.48,0.00038,0.003617591540497337,6.8333330154418945,5.911666393280029,0.05000000447034836,0.027153117582201958,3.4859015941619873,0.0059015750885009766
highnlowk,760.0,3.38,0.00027,0.0022321842538664317,6.501666069030762,5.663332939147949,0.05000000447034836,0.027153117582201958,3.4221673011779785,0.04216718673706055
highnlowk,880.0,3.3,0.00019,0.0013565968276865014,6.501666069030762,5.663332939147949,0.05000000447034836,0.027153117582201958,3.431448221206665,0.13144826889038086
