wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,n_model,n_err
450.0,4.7,0.15,2.0943951023931953,479.91167216160414,2.4875,0.4875,4.700000000000001,8.881784197001252e-16
550.0,4.3,0.055,0.6283185307179585,336.23560734764493,2.4875,0.425,4.300000000000001,8.881784197001252e-16
650.0,3.88,0.02,0.1933287786824488,222.89318157628492,2.4875,0.3625,3.8800000000000012,1.3322676295501878e-15
850.0,3.68,0.006,0.044351896285973545,180.36869192832626,2.4875,0.325,3.680000000000001,8.881784197001252e-16
1000.0,3.57,0.001,0.006283185307179586,159.75069102941094,2.4875,0.3125,3.5700000000000007,8.881784197001252e-16
