material,wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,material_bias,n_model,n_err
si,450.0,4.7,0.15,1.0,6.17,4.67,1.0,0.8950140938475627,4.471775875121748,-0.2282241248782526
si,550.0,4.3,0.055,0.6283185307179585,5.838333333333333,4.67,1.0,0.8950140938475627,4.202870457899108,-0.09712954210089197
si,650.0,3.88,0.02,0.1933287786824488,5.838333333333333,4.67,0.9166666666666666,0.8950140938475627,3.9693102216731035,0.08931022167310365
si,850.0,3.68,0.006,0.044351896285973545,5.838333333333333,4.67,0.75,0.8950140938475627,3.763217811311223,0.08321781131122297
si,1000.0,3.57,0.001,0.006283185307179586,6.17,4.918333333333334,0.6833333333333333,0.8950140938475627,3.7228256339948187,0.15282563399481885
sio2,404.7,1.4696,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4764754591894111,0.006875459189411126
sio2,435.8,1.4667,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4750668066814625,0.008366806681462613
sio2,486.1,1.4631,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4735253089098064,0.010425308909806308
sio2,546.1,1.4601,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4728774763540007,0.012777476354000727
sio2,589.3,1.4585,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.4732133127509304,0.014713312750930463
sio2,632.8,1.457,0.0,0.0,1.8583333333333334,2.6833333333333336,0.0,-0.28629483957930063,1.474230166926337,0.017230166926336832
sio2,656.3,1.4565,0.0,0.0,1.5266666666666666,2.6833333333333336,0.0,-0.28629483957930063,1.3861114691880525,-0.0703885308119474
kdemo,450.0,1.5,1.2e-08,1.6755160819145562e-07,1.8583333333333334,2.6833333333333336,0.03333333333333333,-0.2420288632071726,1.5117036201738518,0.011703620173851847
kdemo,500.0,1.495,8e-09,1.0053096491487336e-07,1.8583333333333334,2.6833333333333336,0.03333333333333333,-0.2420288632071726,1.510356644241055,0.015356644241054873
kdemo,550.0,1.492,5.5e-09,6.283185307179585e-08,1.8583333333333334,2.6833333333333336,0.03333333333333333,-0.2420288632071726,1.5098999018016068,0.017899901801606832
kdemo,600.0,1.49,4e-09,4.1887902047863906e-08,1.8583333333333334,2.6833333333333336,0.03333333333333333,-0.2420288632071726,1.5103334811935256,0.020333481193525627
kdemo,650.0,1.488,3.2e-09,3.0932604589191806e-08,1.5266666666666666,2.6833333333333336,0.03333333333333333,-0.2420288632071726,1.422706352589961,-0.06529364741003896
