wavelength_nm,n_ref,k_ref,eta_target,mu_fit,rho_fit,eta_fit,n_model,n_err
450.0,4.7,0.15,2.0943951023931953,756.3505550000001,2.35,1.0,4.7,0.0
550.0,4.3,0.055,0.6283185307179585,529.9141549999999,2.35,0.6875,4.3,0.0
650.0,3.88,0.02,0.1933287786824488,351.284187008,2.35,0.4,3.8800000000000003,4.440892098500626e-16
850.0,3.68,0.006,0.044351896285973545,284.26472652800004,2.35,0.225,3.68,0.0
1000.0,3.57,0.001,0.006283185307179586,251.77033781549994,2.35,0.15,3.57,0.0
